Power (kW),Efficiency (%)
0.0,0.0
0.15151515151515152,3.9993267358544218
0.30303030303030304,7.8209355345963925
0.4545454545454546,11.472723641751855
0.6060606060606061,14.962237373233746
0.7575757575757576,18.296687709588454
0.9090909090909092,21.482965197281366
1.0606060606060606,24.52765418781448
1.2121212121212122,27.437046444100915
1.3636363636363638,30.21715414221342
1.5151515151515151,32.873722295374634
1.6666666666666667,35.41224062586299
1.8181818181818183,37.83795490936715
1.9696969696969697,40.15587781523172
2.121212121212121,42.370799264995476
2.272727272727273,44.48729633062748
2.4242424242424243,46.50974269291571
2.5757575757575757,48.442317679553604
2.7272727272727275,50.28901490160145
2.878787878787879,52.05365050616968
3.0303030303030303,53.73987106237802
3.181818181818182,55.35116109688648
3.3333333333333335,56.89085029457019
3.484848484848485,58.36212037921832
3.6363636363636367,59.76801168847539
3.787878787878788,61.111429456612264
3.9393939393939394,62.395149818109886
4.090909090909091,63.62182554446199
4.242424242424242,64.7939915260516
4.3939393939393945,65.91407001042978
4.545454545454546,66.98437560782094
4.696969696969697,68.007120074199
4.848484848484849,68.9844168818178
5.0,69.91828558664132
5.151515151515151,70.8106560016984
5.303030303030303,71.66337218498636
5.454545454545455,72.47819625016409
5.606060606060606,73.25681200790979
5.757575757575758,74.00082844546759
5.909090909090909,74.71178305157385
6.0606060606060606,75.39114499363366
6.212121212121212,76.04031815371346
6.363636363636364,76.66064402962319
6.515151515151516,77.25340450708326
6.666666666666667,77.81982450870485
6.818181818181818,78.36107452525748
6.96969696969697,78.87827303445475
7.121212121212121,79.37248881225673
7.272727272727273,79.84474314146487
7.424242424242425,80.29601192217386
7.575757575757576,80.72722768844122
7.7272727272727275,81.13928153534242
7.878787878787879,81.53302496039335
8.030303030303031,81.9092716231457
8.181818181818182,82.26879902659114
8.333333333333334,82.6123501238491
8.484848484848484,82.94063485345823
8.636363636363637,83.25433160644405
8.787878787878789,83.55408862819468
8.93939393939394,83.84052535804145
9.090909090909092,84.11423370931259
9.242424242424242,84.37577929250521
9.393939393939394,84.62570258410332
9.545454545454545,84.86452004345698
9.696969696969697,85.09272518003084
9.84848484848485,85.31078957322737
10.0,85.51916384689224
10.151515151515152,85.61221799445504
10.303030303030303,85.69642408693264
10.454545454545455,85.77217530502793
10.606060606060606,85.83984735768722
10.757575757575758,85.89979925849195
10.90909090909091,85.9523740675501
11.06060606060606,85.99789960042004
11.212121212121213,86.03668910553212
11.363636363636363,86.06904191150745
11.515151515151516,86.09524404571218
11.666666666666668,86.11556882532467
11.818181818181818,86.1302774221378
11.96969696969697,86.13961940226291
12.121212121212121,86.14383324185113
12.272727272727273,86.14314681989752
12.424242424242424,86.13777788914649
12.575757575757576,86.12793452607167
12.727272727272728,86.11381556085989
12.878787878787879,86.09561098828829
13.030303030303031,86.07350236034293
13.181818181818182,86.04766316139084
13.333333333333334,86.0182591666806
13.484848484848484,85.98544878491195
13.636363636363637,85.94938338558312
13.787878787878789,85.91020761179134
13.93939393939394,85.86805967913385
14.090909090909092,85.82307166132632
14.242424242424242,85.7753697631296
14.393939393939394,85.7250745811481
14.545454545454547,85.67230135303932
14.696969696969697,85.61716019564915
14.84848484848485,85.55975633256514
15.0,85.5001903115582
